iso3c,name,url
SPM,圣皮埃尔和密克隆,%E5%9C%A3%E7%9A%AE%E5%9F%83%E5%B0%94%E5%92%8C%E5%AF%86%E5%85%8B%E9%9A%86
SRB,塞尔维亚,%E5%A1%9E%E5%B0%94%E7%BB%B4%E4%BA%9A
SSD,南苏丹,%E5%8D%97%E8%98%87%E4%B8%B9
STP,圣多美和普林西比,%E5%9C%A3%E5%A4%9A%E7%BE%8E%E5%92%8C%E6%99%AE%E6%9E%97%E8%A5%BF%E6%AF%94
SUR,苏里南,%E8%98%87%E5%88%A9%E5%8D%97
SVK,斯洛伐克,%E6%96%AF%E6%B4%9B%E4%BC%90%E5%85%8B
SVN,斯洛文尼亚,%E6%96%AF%E6%B4%9B%E6%96%87%E5%B0%BC%E4%BA%9A
SWE,瑞典,%E7%91%9E%E5%85%B8
SWZ,斯威士兰,%E6%96%AF%E5%A8%81%E5%A3%AB%E5%85%B0
SXM,荷属圣马丁,%E8%8D%B7%E5%B1%AC%E8%81%96%E9%A6%AC%E4%B8%81
SYC,塞舌尔,%E5%A1%9E%E8%88%8C%E5%B0%94
SYR,叙利亚,%E5%8F%99%E5%88%A9%E4%BA%9A
TCA,特克斯和凯科斯群岛,%E7%89%B9%E5%85%8B%E6%96%AF%E5%92%8C%E5%87%AF%E7%A7%91%E6%96%AF%E7%BE%A4%E5%B2%9B
TCD,乍得,%E4%B9%8D%E5%BE%97
TGO,多哥,%E5%A4%9A%E5%93%A5
THA,泰国,%E6%B3%B0%E5%9B%BD
TJK,塔吉克斯坦,%E5%A1%94%E5%90%89%E5%85%8B%E6%96%AF%E5%9D%A6
TKL,托克劳,%E6%89%98%E5%85%8B%E5%8A%B3
TKM,土库曼斯坦,%E5%9C%9F%E5%BA%93%E6%9B%BC%E6%96%AF%E5%9D%A6
TLS,东帝汶,%E4%B8%9C%E5%B8%9D%E6%B1%B6
TON,汤加,%E6%9D%B1%E5%8A%A0
TTO,特立尼达和多巴哥,%E5%8D%83%E9%87%8C%E9%81%94%E5%8F%8A%E6%89%98%E5%B7%B4%E5%93%A5
TUN,突尼斯,%E7%AA%81%E5%B0%BC%E8%A5%BF%E4%BA%9E
TUR,土耳其,%E5%9C%9F%E8%80%B3%E5%85%B6
TUV,图瓦卢,%E5%9C%96%E7%93%A6%E7%9B%A7
TWN,台湾,%E4%B8%AD%E5%9B%BD%E5%8F%B0%E6%B9%BE%E7%9C%81
TZA,坦桑尼亚,%E5%9D%A6%E6%A1%91%E5%B0%BC%E4%BA%9A
UGA,乌干达,%E4%B9%8C%E5%B9%B2%E8%BE%BE
UKR,乌克兰,%E4%B9%8C%E5%85%8B%E5%85%B0
UMI,美国本土外小岛屿,%E7%BE%8E%E5%9B%BD%E6%9C%AC%E5%9C%9F%E5%A4%96%E5%B0%8F%E5%B2%9B%E5%B1%BF
URY,乌拉圭,%E4%B9%8C%E6%8B%89%E5%9C%AD
USA,美国,%E7%BE%8E%E5%9C%8B
