short_name_en,variant,common_string,regex
Saint Vincent and the Grenadines,圣文森及格瑞那丁,圣文森,圣文森
Saint Vincent and the Grenadines,圣文森,圣文森,圣文森
Samoa,萨摩亚,萨摩亚,萨摩亚
Samoa,萨摩亚独立国,萨摩亚,萨摩亚
San Marino,圣马力诺,圣马,
San Marino,最庄严尊贵的圣马力诺共和国,圣马,
San Marino,圣马力诺共和国,圣马,
San Marino,圣马利诺,圣马,
San Marino,最庄严尊贵的圣马利诺共和国,圣马,
San Marino,圣马利诺共和国,圣马,
São Tomé and Príncipe,圣多美和普林西比,圣,
São Tomé and Príncipe,圣多美和普林西比民主共和国,圣,
São Tomé and Príncipe,圣普,圣,
São Tomé and Príncipe,圣多美普林西比,圣,
São Tomé and Príncipe,圣多美普林西比民主共和国,圣,
Saudi Arabia,沙特阿拉伯,沙,
Saudi Arabia,沙特阿拉伯王国,沙,
Saudi Arabia,沙特,沙,
Saudi Arabia,沙乌地阿拉伯,沙,
Saudi Arabia,沙地阿拉伯,沙,
Saudi Arabia,沙地阿拉伯王国,沙,
Saudi Arabia,沙地,沙,
Saudi Arabia,沙乌地阿拉伯王国,沙,
Saudi Arabia,沙乌地,沙,
Senegal,塞内加尔,塞内加尔,塞内加尔
Senegal,塞内加尔共和国,塞内加尔,塞内加尔
Serbia,塞尔维亚,塞尔维亚,塞尔维亚
Serbia,塞尔维亚共和国,塞尔维亚,塞尔维亚
Seychelles,塞舌尔,塞,
Seychelles,塞舌尔共和国,塞,
Seychelles,塞席尔,塞,
Seychelles,塞席尔共和国,塞,
Sierra Leone,塞拉利昂,,
Sierra Leone,塞拉利昂共和国,,
Sierra Leone,狮子山共和国,,
Sierra Leone,狮子山,,
Singapore,新加坡,,
Singapore,新加坡共和国,,
Singapore,狮城,,
Singapore,星国,,
Singapore,星洲,,
Singapore,星加坡,,
Slovakia,斯洛伐克,斯洛伐克,斯洛伐克
Slovakia,斯洛伐克共和国,斯洛伐克,斯洛伐克
Slovenia,斯洛文尼亚,斯洛,
Slovenia,斯洛文尼亚共和国,斯洛,
Slovenia,斯洛维尼亚,斯洛,
Slovenia,斯洛维尼亚共和国,斯洛,
Solomon Islands,所罗门群岛,罗门群岛,
Solomon Islands,索罗门群岛,罗门群岛,
Somalia,索马里,索马,
Somalia,索马里联邦共和国,索马,
Somalia,索马利亚,索马,
Somalia,索马利亚联邦共和国,索马,
Somaliland,索马里兰,索马,
Somaliland,索马里兰共和国,索马,
Somaliland,索马利兰,索马,
Somaliland,索马利兰共和国,索马,
South Africa,南非,南非,南非
South Africa,南非共和国,南非,南非
South Korea,大韩民国,韩,
South Korea,韩国,韩,
South Korea,南韩,韩,
South Ossetia,南奥塞梯,南奥塞,
South Ossetia,南奥塞梯共和国,南奥塞,
South Ossetia,南奥塞提亚,南奥塞,
South Ossetia,南奥塞提亚共和国,南奥塞,
South Sudan,南苏丹,南苏丹,南苏丹
South Sudan,南苏丹共和国,南苏丹,南苏丹
Spain,西班牙,,
Spain,西班牙王国,,
Spain,日斯巴尼亚,,
Spain,以西巴尼亚,,
Spain,以西把你亚,,
Sri Lanka,斯里兰卡,兰,
Sri Lanka,斯里兰卡民主社会主义共和国,兰,
Sri Lanka,锡兰,兰,
Sudan,苏丹,苏丹,苏丹
Sudan,苏丹共和国,苏丹,苏丹
Sudan,北苏丹,苏丹,苏丹
Suriname,苏里南,苏,
Suriname,苏里南共和国,苏,
Suriname,苏利南,苏,
Suriname,苏利南共和国,苏,
Sweden,瑞典,瑞典,瑞典
Sweden,瑞典王国,瑞典,瑞典
Switzerland,瑞士,瑞士,瑞士
Switzerland,瑞士联邦,瑞士,瑞士
Syria,叙利亚,叙利亚,叙利亚
Syria,阿拉伯叙利亚共和国,叙利亚,叙利亚
Taiwan,中华民国,,
Taiwan,中国,,
Taiwan,台湾,,
Tajikistan,塔吉克斯坦,塔吉克,塔吉克
Tajikistan,塔吉克斯坦共和国,塔吉克,塔吉克
Tajikistan,塔吉克,塔吉克,塔吉克
Tajikistan,塔吉克共和国,塔吉克,塔吉克
Tanzania,坦桑尼亚,尼亚,
Tanzania,坦桑尼亚联合共和国,尼亚,
Tanzania,坦尚尼亚,尼亚,
Tanzania,坦尚尼亚联合共和国,尼亚,
Thailand,泰国,,
Thailand,泰王国,,
Thailand,暹罗,,
Timor-Leste,东帝汶,东帝汶,东帝汶
Timor-Leste,东帝汶民主共和国,东帝汶,东帝汶
Togo,多哥,多哥,多哥
Togo,多哥共和国,多哥,多哥
Tonga,汤加,加,
Tonga,汤加王国,加,
Tonga,东加,加,
Tonga,东加王国,加,
Trinidad and Tobago,特立尼达和多巴哥,,
Trinidad and Tobago,特立尼达和多巴哥共和国,,
Trinidad and Tobago,特多,,
Trinidad and Tobago,千里达及多巴哥,,
Trinidad and Tobago,千里达及多巴哥共和国,,
Trinidad and Tobago,千里达,,
Trinidad and Tobago,千里达及托巴哥,,
Trinidad and Tobago,千里达及托巴哥共和国,,
Tunisia,突尼斯,突尼,
Tunisia,突尼斯共和国,突尼,
Tunisia,突尼西亚,突尼,
Tunisia,突尼西亚共和国,突尼,
Turkey,土耳其,土耳其,土耳其
Turkey,土耳其共和国,土耳其,土耳其
Turkmenistan,土库曼斯坦,土库曼,土库曼
Turkmenistan,土库曼,土库曼,土库曼
Tuvalu,图瓦卢,瓦,
Tuvalu,吐瓦鲁,瓦,
Uganda,乌干达,乌干达,乌干达
Uganda,乌干达共和国,乌干达,乌干达
Ukraine,乌克兰,乌克兰,乌克兰
United Arab Emirates,阿拉伯联合酋长国,阿,
United Arab Emirates,阿联酋,阿,
United Arab Emirates,阿拉伯联合大公国,阿,
United Arab Emirates,阿联,阿,
United Kingdom,英国,,
United Kingdom,大不列颠及北爱尔兰联合王国,,
United Kingdom,联合王国,,
United Kingdom,不列颠,,
United Kingdom,大不列颠暨北爱尔兰联合王国,,
United States,美国,美,
United States,美利坚合众国,美,
Uruguay,乌拉圭,乌拉圭,乌拉圭
Uruguay,乌拉圭东岸共和国,乌拉圭,乌拉圭
Uzbekistan,乌兹别克斯坦,乌兹别克,乌兹别克
Uzbekistan,乌兹别克斯坦共和国,乌兹别克,乌兹别克
Uzbekistan,乌兹别克,乌兹别克,乌兹别克
Uzbekistan,乌兹别克共和国,乌兹别克,乌兹别克
Vanuatu,瓦努阿图,,
Vanuatu,瓦努阿图共和国,,
Vanuatu,万那杜,,
Vanuatu,万那杜共和国,,
Vatican City,梵蒂冈,梵,
Vatican City,梵蒂冈城国,梵,
Vatican City,梵蒂冈城,梵,
Vatican City,梵谛冈,梵,
Venezuela,委内瑞拉,委内瑞拉,委内瑞拉
Venezuela,委内瑞拉玻利瓦尔共和国,委内瑞拉,委内瑞拉
Venezuela,委内瑞拉玻利瓦共和国,委内瑞拉,委内瑞拉
Vietnam,越南,越南,越南
Vietnam,越南社会主义共和国,越南,越南
Western Sahara,阿拉伯撒哈拉民主共和国,撒,
Western Sahara,西撒哈拉,撒,
Western Sahara,撒拉威阿拉伯民主共和国,撒,
Yemen,也门,门,
Yemen,也门共和国,门,
Yemen,叶门,门,
Yemen,叶门共和国,门,
Zambia,赞比亚,比亚,
Zambia,赞比亚共和国,比亚,
Zambia,尚比亚,比亚,
Zambia,尚比亚共和国,比亚,
Zimbabwe,津巴布韦,巴,
Zimbabwe,津巴布韦共和国,巴,
Zimbabwe,辛巴威,巴,
Zimbabwe,辛巴威共和国,巴,
