iso3c,variant,common_string,regex
IMN,马恩岛,,
IMN,曼恩,,
IMN,萌岛,,
IMN,曼岛,,
IND,印度,印度,印度(?!尼西亚)
IND,印度共和国,印度,印度(?!尼西亚)
IOT,英属印度洋领地,英属印度洋领地,英属印度洋领地
IRL,爱尔兰,爱尔兰,(?<!北)爱尔兰
IRL,爱尔兰共和国,爱尔兰,(?<!北)爱尔兰
IRN,伊朗,,伊朗
IRN,伊朗伊斯兰共和国,,伊朗
IRN,波斯,,伊朗
IRQ,伊拉克,伊拉克,伊拉克
IRQ,伊拉克共和国,伊拉克,伊拉克
ISL,冰岛,冰,冰岛
ISL,冰封之地,冰,冰岛
ISR,以色列,以色列,以色列
ISR,以色列国,以色列,以色列
ITA,意大利,大利,(义|意)大利
ITA,意大利共和国,大利,(义|意)大利
ITA,义大利,大利,(义|意)大利
ITA,义大利共和国,大利,(义|意)大利
JAM,牙买加,牙买加,牙买加
JEY,泽西,,
JEY,泽西行政区,,
JEY,哲尔赛,,
JOR,约旦,约旦,约旦
JOR,约旦哈希姆王国,约旦,约旦
JOR,约旦哈希米王国,约旦,约旦
JPN,日本,日本,日本
JPN,日本国,日本,日本
KAZ,哈萨克斯坦,哈萨克,哈萨克
KAZ,哈萨克斯坦共和国,哈萨克,哈萨克
KAZ,哈萨克,哈萨克,哈萨克
KAZ,哈萨克共和国,哈萨克,哈萨克
KEN,肯尼亚,肯,肯(亚|雅)|肯尼亚
KEN,肯尼亚共和国,肯,肯(亚|雅)|肯尼亚
KEN,肯雅,肯,肯(亚|雅)|肯尼亚
KEN,肯雅共和国,肯,肯(亚|雅)|肯尼亚
KEN,肯亚,肯,肯(亚|雅)|肯尼亚
KEN,肯亚共和国,肯,肯(亚|雅)|肯尼亚
KGZ,吉尔吉斯斯坦,吉尔吉斯,吉尔吉斯
KGZ,吉尔吉斯共和国,吉尔吉斯,吉尔吉斯
KGZ,吉尔吉斯,吉尔吉斯,吉尔吉斯
KHM,柬埔寨,柬埔寨,柬埔寨
KHM,柬埔寨王国,柬埔寨,柬埔寨
KIR,基里巴斯,里巴斯,(吉|基)里巴斯
KIR,基里巴斯共和国,里巴斯,(吉|基)里巴斯
KIR,吉里巴斯,里巴斯,(吉|基)里巴斯
KIR,吉里巴斯共和国,里巴斯,(吉|基)里巴斯
KNA,圣基茨和尼维斯,,"(?<!多米尼)克国|圣尼|圣克里斯(多福|托弗).{0,2}尼维斯|圣基茨.{0,2}尼维斯|圣吉斯纳域斯"
KNA,圣基茨和尼维斯联邦,,"(?<!多米尼)克国|圣尼|圣克里斯(多福|托弗).{0,2}尼维斯|圣基茨.{0,2}尼维斯|圣吉斯纳域斯"
KNA,圣克里斯托弗和尼维斯联邦,,"(?<!多米尼)克国|圣尼|圣克里斯(多福|托弗).{0,2}尼维斯|圣基茨.{0,2}尼维斯|圣吉斯纳域斯"
KNA,圣尼,,"(?<!多米尼)克国|圣尼|圣克里斯(多福|托弗).{0,2}尼维斯|圣基茨.{0,2}尼维斯|圣吉斯纳域斯"
KNA,圣克里斯多福及尼维斯／圣吉斯纳域斯联邦,,"(?<!多米尼)克国|圣尼|圣克里斯(多福|托弗).{0,2}尼维斯|圣基茨.{0,2}尼维斯|圣吉斯纳域斯"
KNA,圣克里斯多福及尼维斯联邦,,"(?<!多米尼)克国|圣尼|圣克里斯(多福|托弗).{0,2}尼维斯|圣基茨.{0,2}尼维斯|圣吉斯纳域斯"
KNA,圣克里斯多福及尼维斯,,"(?<!多米尼)克国|圣尼|圣克里斯(多福|托弗).{0,2}尼维斯|圣基茨.{0,2}尼维斯|圣吉斯纳域斯"
KNA,克国,,"(?<!多米尼)克国|圣尼|圣克里斯(多福|托弗).{0,2}尼维斯|圣基茨.{0,2}尼维斯|圣吉斯纳域斯"
KOR,大韩民国,韩,大韩民国|韩国|南韩
KOR,韩国,韩,大韩民国|韩国|南韩
KOR,南韩,韩,大韩民国|韩国|南韩
KWT,科威特,科威特,科威特
KWT,科威特国,科威特,科威特
LAO,老挝,,老挝|寮国|寮人民民主共和国
LAO,老挝人民民主共和国,,老挝|寮国|寮人民民主共和国
LAO,寮国,,老挝|寮国|寮人民民主共和国
LAO,寮人民民主共和国,,老挝|寮国|寮人民民主共和国
LBN,黎巴嫩,黎巴嫩,黎巴嫩
LBN,黎巴嫩共和国,黎巴嫩,黎巴嫩
LBR,利比里亚,比,(赖比瑞|利比里)亚
LBR,利比里亚共和国,比,(赖比瑞|利比里)亚
LBR,赖比瑞亚,比,(赖比瑞|利比里)亚
LBR,赖比瑞亚共和国,比,(赖比瑞|利比里)亚
LBY,利比亚,利比亚,利比亚
LBY,利比亚国,利比亚,利比亚
LCA,圣卢西亚,西亚,圣(露|卢)西亚
LCA,圣露西亚,西亚,圣(露|卢)西亚
LIE,列支敦士登,列支敦,列支敦(斯|士)登
LIE,列支敦士登亲王国,列支敦,列支敦(斯|士)登
LIE,列支敦士登侯国,列支敦,列支敦(斯|士)登
LIE,列支敦士登公国,列支敦,列支敦(斯|士)登
LIE,列支敦斯登,列支敦,列支敦(斯|士)登
LIE,列支敦斯登亲王国,列支敦,列支敦(斯|士)登
LIE,列支敦斯登侯国,列支敦,列支敦(斯|士)登
LIE,列支敦斯登公国,列支敦,列支敦(斯|士)登
LKA,斯里兰卡,兰,斯里兰卡|锡兰
LKA,斯里兰卡民主社会主义共和国,兰,斯里兰卡|锡兰
LKA,锡兰,兰,斯里兰卡|锡兰
LSO,莱索托,索托,(赖|莱)索托
LSO,莱索托王国,索托,(赖|莱)索托
LSO,赖索托,索托,(赖|莱)索托
LSO,赖索托王国,索托,(赖|莱)索托
LTU,立陶宛,立陶宛,立陶宛
LTU,立陶宛共和国,立陶宛,立陶宛
LUX,卢森堡,卢森堡,卢森堡
LUX,卢森堡大公国,卢森堡,卢森堡
LVA,拉脱维亚,拉脱维亚,拉脱维亚
LVA,拉脱维亚共和国,拉脱维亚,拉脱维亚
MAC,澳门,澳,澳
MAC,澳,澳,澳
MAF,法属圣马丁,圣马丁,圣马丁
MAF,圣马丁,圣马丁,圣马丁
MAF,圣马丁集体,圣马丁,圣马丁
MAR,摩洛哥,摩洛哥,摩洛哥
MAR,摩洛哥王国,摩洛哥,摩洛哥
MCO,摩纳哥,摩纳哥,摩纳哥
MCO,摩纳哥公国,摩纳哥,摩纳哥
MCO,摩纳哥侯国,摩纳哥,摩纳哥
MCO,摩纳哥亲王国,摩纳哥,摩纳哥
MDA,摩尔多瓦,摩尔多瓦,摩尔多瓦
MDA,摩尔多瓦共和国,摩尔多瓦,摩尔多瓦
MDG,马达加斯加,马,马(达加斯加|拉加西|尔加什)
MDG,马达加斯加共和国,马,马(达加斯加|拉加西|尔加什)
MDG,马尔加什共和国,马,马(达加斯加|拉加西|尔加什)
MDG,马拉加西共和国,马,马(达加斯加|拉加西|尔加什)
MDV,马尔代夫,,马尔(代|地)夫
MDV,马尔代夫共和国,,马尔(代|地)夫
MDV,溜山,,马尔(代|地)夫
MDV,马尔地夫,,马尔(代|地)夫
MDV,马尔地夫共和国,,马尔(代|地)夫
MEX,墨西哥,墨西哥,墨西哥
MEX,墨西哥合众国,墨西哥,墨西哥
